
 记录时间：2016-03-23 13:23:01,005 -描述：gLayerDrawing图层不存在，可以正常添加！
 记录时间：2016-03-23 13:23:01,020 -描述：gLayerDrawing添加成功！
 记录时间：2016-03-23 13:23:01,020 -描述：fLayerCameras不存在，可以正常添加！
 记录时间：2016-03-23 13:23:01,034 -描述：3-----83
 记录时间：2016-03-23 13:23:01,034 -描述：ESRI.ArcGIS.Client.LayerCollection
 记录时间：2016-03-23 13:23:01,034 -描述：ESRI.ArcGIS.Client.Map
 记录时间：2016-03-23 13:23:01,034 -描述：ESRI.ArcGIS.Client.FeatureLayer
 记录时间：2016-03-23 13:44:07,284 -描述：gLayerDrawing图层不存在，可以正常添加！
 记录时间：2016-03-23 13:44:07,299 -描述：gLayerDrawing添加成功！
 记录时间：2016-03-23 13:44:07,299 -描述：fLayerCameras不存在，可以正常添加！
 记录时间：2016-03-23 13:44:07,315 -描述：3-----83
 记录时间：2016-03-23 13:44:07,315 -描述：ESRI.ArcGIS.Client.LayerCollection
 记录时间：2016-03-23 13:44:07,315 -描述：ESRI.ArcGIS.Client.Map
 记录时间：2016-03-23 13:44:07,315 -描述：ESRI.ArcGIS.Client.FeatureLayer
