
 记录时间：2016-08-01 10:18:09,668 -描述：800 470 1600 2400 200 730
 记录时间：2016-08-01 10:18:27,733 -描述：800 470 1600 2400 200 730
 记录时间：2016-08-01 10:18:27,800 -描述：800 470 1580 2380 200 730
 记录时间：2016-08-01 10:18:27,806 -描述：800 470 1570 2370 200 730
 记录时间：2016-08-01 10:18:27,817 -描述：800 470 1560 2360 200 730
 记录时间：2016-08-01 10:18:27,830 -描述：800 470 1550 2350 200 730
 记录时间：2016-08-01 10:18:27,894 -描述：800 470 1540 2340 200 730
 记录时间：2016-08-01 10:18:27,905 -描述：800 470 1530 2330 200 730
 记录时间：2016-08-01 10:18:27,942 -描述：800 470 1520 2320 200 730
 记录时间：2016-08-01 10:18:27,975 -描述：800 470 1510 2310 200 730
 记录时间：2016-08-01 10:18:28,132 -描述：800 470 1480 2280 200 730
 记录时间：2016-08-01 10:26:03,042 -描述：800 470 1600 2400 200 730
