
 记录时间：2016-08-30 10:44:37,805 -描述：<-------加载开始了！
 记录时间：2016-08-30 10:45:22,963 -描述：<-------加载完成了！
 记录时间：2016-08-30 10:45:46,345 -描述：在OpenVideoToWall中打印，执行OpenVideoToWallForDVCS2前-------------------------------
 记录时间：2016-08-30 10:45:46,346 -描述：0---C01-南收费站1
 记录时间：2016-08-30 10:45:46,346 -描述：Null-1
 记录时间：2016-08-30 10:45:46,346 -描述：Null-2
 记录时间：2016-08-30 10:45:46,346 -描述：Null-3
 记录时间：2016-08-30 10:45:46,347 -描述：Null-
 记录时间：2016-08-30 10:45:46,353 -描述：在OpenVideoToWall中打印，执行OpenVideoToWallForDVCS2后-------------------------------
 记录时间：2016-08-30 10:45:46,353 -描述：0---C01-南收费站1
 记录时间：2016-08-30 10:45:46,353 -描述：Null-1
 记录时间：2016-08-30 10:45:46,353 -描述：Null-2
 记录时间：2016-08-30 10:45:46,353 -描述：Null-3
 记录时间：2016-08-30 10:45:46,354 -描述：0---C01-南收费站1
